Variable Name,Data Type,Units,Data Point Name,Data Point Description,,DATA Table Column Location,VISUALIZATION Template Column Location,Default,Anticipated Range of Values,Source of Input Data
rackkw,float,kiloWatts,IT Power Per Rack,The avaerage amount of power per standard rack, INTRODUCTORY INFORMATION,S,,n/a,1 to 300,Client
itweblink,hyperlink,n/a,Tenant Website or Links,Any online information regarding tenants or users of the data centre, INTRODUCTORY INFORMATION,T,AG,n/a,url,Client
oftkrowner,string,n/a,Heat Offtaker System Owner,Principal owner of the Heat Offtaker System, INTRODUCTORY INFORMATION,U,,n/a,100 char,Client
howeblink,hyperlink,n/a,Heat Offtaker Owner Website or Links,Any online information regarding the owner/operator of the heat Offtaker system, INTRODUCTORY INFORMATION,V,AO,n/a,url,Client
oftkruser,string,n/a,Heat Offtaker Principal Offtaker,Principal Offtaker of the heat, INTRODUCTORY INFORMATION,W,,#NAME?,100 char,Client
huweblink,hyperlink,n/a,Heat Offtaker Website or Links,Any online information regarding the actual Offtaker(s) of the heat, INTRODUCTORY INFORMATION,X,AP,n/a,url,Client
oftkrtype,string,n/a,Type of Offtaker,General category of heat Offtaker, INTRODUCTORY INFORMATION,Y,AE,"SELECTION BOX: Agricultural, Biomass Processing, Building HVAC Reheat, Decarbonization, District Energy, Ethanol Production, Fish Farming – Freshwater, Fish Farming. – Seawater, Greenhouse, Heat Storage in Aquafer, Hospital, Hotel, Industrial Laundry, Private District Energy, Swimming Pool, Wastewater Treatment",30 char. Box,Client
relationship,string,n/a,What is the Business structure?,Short explanation of the relationship between the It Facility and the Heat Offtaker, INTRODUCTORY INFORMATION,Z,AD,n/a,250 char,Client
date3,Date,2023-12-31,When did heat reuse start?,, INTRODUCTORY INFORMATION,AA,AC,2023-12-31,date,Client
product,string,n/a,Is there a product resulting from the heat reuse?,"What does the Heat Offtaker get from the use of the heat, if there is an ""industrial"" Offtaker?", INTRODUCTORY INFORMATION,AB,AH,No,250 char,Client
datasize,float,pflops,Data Centre Throughput,"What is the size of the computing equipment, in ""Computing Terms""", INTRODUCTORY INFORMATION,DA,,n/a,,Client
itaircl,float,%,"How much of the IT Equipment is Cooled by Air (""traditional"") (%)",,DATA HALL STUFF,DB,Y,n/a,<1.0,Client
itdrcl,float,%,How much of the IT Equipment is Cooled by Rack Door Heat Exchanger (%),,DATA HALL STUFF,DC,Z,n/a,<1.0,Client
itchipcl,float,%,"How much of the IT Equipment is Cooled by ""Direct-to-Chip"" Cold Plate (%)",,DATA HALL STUFF,DD,AA,n/a,<1.0,Client
itpltcl,float,%,"How much of the IT Equipment is Cooled by ""Other"" Cold Plate (%)",,DATA HALL STUFF,DE,,n/a,<1.0,Client
it1imm,float,%,How much of the IT Equipment is Cooled by Single Phase Immersion (%),,DATA HALL STUFF,DF,AB,n/a,<1.0,Client
it2imm,float,%,How much of the IT Equipment is Cooled by Two Phase Immersion (%),,DATA HALL STUFF,DG,AB,n/a,<1.0,Client
itdivrday,float,%,Data Centre Load Daily Fluctuation,"Daily swing in available heat, from Client input",DATA HALL STUFF,DH,,1,(calculated),Engine
itdvryr,float,%,Data Centre Load Annual Fluctuation,"Annual swing in available heat, from Client input",DATA HALL STUFF,DI,,1,(calculated),Engine
whadvr,float,%,"Waste Heat Available, Adjusted for Fluctuation","Total Waste Heat Available, multiplied by both Fluctuation factors",DATA HALL STUFF,DJ,,#NAME?,(calculated),Client
sitepwr,float,MegaWatts,Installed power of the site,Installed power of the site,ENERGY INFORMATION,AC,G,n/a,0.0 - 500.0,Client
itpwr,float,MegaWatts,Rated data Centre power ,Rated data Centre power ,ENERGY INFORMATION,AD,H,n/a,0.0 - 500.0,Client
pwrsce1,string,n/a,Primary Electrical Power Source,Primary Electrical Power Source,ENERGY INFORMATION,AE,,n/a,50 char,Client
pwrtype1,string,n/a,Primary Source Type,Primary Source Type,ENERGY INFORMATION,AF,AP,n/a,50 char,Client
pwrrate1,float,FORMAT??,Base Cost Rate for Primary Power,Base Cost Rate for Primary Power,ENERGY INFORMATION,AG, ,n/a,,Client
pwrrate1ad,float,n/a,Rate Adjustments to Power Base Rate,Rate Adjustments to Power Base Rate,ENERGY INFORMATION,AH,,n/a, ,Client
pwr1prop,float,n/a,Proportion of Total Power From Primary Source,Proportion of Total Power From Primary Source,ENERGY INFORMATION,AI,,1,0 - 1.0,Client
pwrsce2,string,n/a,Secondary Power Source,Secondary Power Source,ENERGY INFORMATION,AJ,,n/a,50 char,Client
pwrtype2,string,n/a,Secondary Source Type,Secondary Source Type,ENERGY INFORMATION,AK,,n/a,50 char,Client
pwrrate2,float,FORMAT??,Base Cost Rate for Secondary Power,Base Cost Rate for Secondary Power,ENERGY INFORMATION,AL,,n/a, ,Client
pwrrate2ad,float,FORMAT??,Rate Adjustments to Secondary Power Base Rate,Rate Adjustments to Secondary Power Base Rate,ENERGY INFORMATION,AM,,n/a, ,Client
pwrrate2prop,string,n/a,Proportion of Total Power From Secondary Source,Proportion of Total Power From Secondary Source,ENERGY INFORMATION,AN,,n/a,,Client
pwralt,string,n/a,Alternate or Additional Fuels,Alternate or Additional Fuels,ENERGY INFORMATION,AO,,n/a,,Client
pwralttype,string,n/a,Alternalte Fuel Type,Alternalte Fuel Type,ENERGY INFORMATION,AP,,n/a, ,Client
pwrratealt,float,n/a,Base Cost rate for Alternate or Additional Fuels,Base Cost rate for Alternate or Additional Fuels,ENERGY INFORMATION,AQ,,n/a, ,Client
pwrratealtad,float,n/a,Rate Adjustments to Alternate Fuels Base Cost Rate,Rate Adjustments to Alternate Fuels Base Cost Rate,ENERGY INFORMATION,AR,,n/a,,Client
h2ouse,float,liters per year,Water Usage,Water Usage,ENERGY INFORMATION,AS,CR,0,,Client
h2orate,float,FORMAT??,Water cost rate,Water cost rate,ENERGY INFORMATION,AT,CS,0,,Client
oftkrbldg,string,Yes / No,Is the Heat Offtaker Within the building?,Is the Heat Offtaker Within the building?,ENERGY INFORMATION,AU,O,No,Yes / No,Client
oftkrcamp,string,Yes / No,Is the Heat Offtaker Within the Campus?,Is the Heat Offtaker Within the Campus?,ENERGY INFORMATION,AV,P,Yes,Yes / No,Client
oftkrprem,string,Yes / No,Is the Heat Offtaker Off premises?,Is the Heat Offtaker Off premises?,ENERGY INFORMATION,AW,Q,Yes,Yes / No,Client
oftkrdist,int,meters,Distance to the Heat Offtaker,"When Offtaker is off-premises, how far to the first Offtaker",ENERGY INFORMATION,AX,R,0,0 to 5000,Client
ere,float,none,Energy Reuse Effectiveness (ERE),Use these figures if offered by Client,ENERGY INFORMATION,AY,U,0.8,0 <1.0,Client
erf,float,none,Energy Reuse Factor (ERF),Use these figures if offered by Client,ENERGY INFORMATION,AZ,V,0.8,0 <1.0,Client
hre,float,none,Heat Reuse Effectiveness (HRE),Use these figures if calculated within our engine,ENERGY INFORMATION,BA,,(calculated),0 <1.0,Engine
hrf,float,none,Heat Reuse Factor (HRF),Use these figures if calculated within our engine,ENERGY INFORMATION,BB,,(calculated),0 <1.0,Engine
hrec,float,%,Percentage of Heat Reused,Use these figures if offered by Client,ENERGY INFORMATION,BC,W,80%,0 <1.0,Client
hrfc,float,MW ,Amount of Heat Reused,Use these figures if offered by Client,ENERGY INFORMATION,BD,X, ,0 <1.0,Client
wha,float,MW,Total Heat Available,Heat made available from the IT System,ENERGY INFORMATION,BE,,(calculated),0.0 to 5000.0,Engine
uhr,float,MW,Total Heat Reused,Heat actually processed by Offtaker system,ENERGY INFORMATION,BF, ,(calculated),0.0 to 5000.0,Engine
uhrdvrad,float,MW,"Total Heat Reused, Adjusted for Fluctuation",Total Heat multiplied by both Fluctuation factors,ENERGY INFORMATION,BG,,(calculated),0.0 to 5000.0,Engine
hredvrad,float,MW,"HRE, Adjusted for Fluctuation","Hre, adjusted by all four factors",ENERGY INFORMATION,BH,,(calculated),0.0 to 5000.0,Engine
pwrf1,float,kW,Electrical Power to operate IT Medium stream,"Mostly, will be the pump power",MECHANICAL OPERATING PARAMETERS,BI,,25,1.0 - 500.0,Client
T1min,float,Degrees (C),Typical temperature of cooling Medium to the IT equipment (Min),Typical temperature of cooling Medium to the IT equipment (Min),MECHANICAL OPERATING PARAMETERS,BJ,I,10,10.0 - 40.0,Client
T1max,float,Degrees (C),Typical temperature of cooling Medium to the IT equipment (Max),Typical temperature of cooling Medium to the IT equipment (Max),MECHANICAL OPERATING PARAMETERS,BK,J,40,10.0 - 40.0,Client
T1,float,Degrees (C),Rated temperature of cooling Medium to the IT equipment,Rated temperature of cooling Medium to the IT equipment,MECHANICAL OPERATING PARAMETERS,BL,BG,30,10.0 - 40.0,Client
T2min,float,Degrees (C),Typical temperature of cooling Medium from the IT equipment (Min),Typical temperature of cooling Medium from the IT equipment (Min),MECHANICAL OPERATING PARAMETERS,BM,K,20,10.0 - 70.0,Client
T2max,float,Degrees (C),Typical temperature of cooling Medium from the IT equipment (Max),Typical temperature of cooling Medium from the IT equipment (Max),MECHANICAL OPERATING PARAMETERS,BN,L,60,10.0 - 70.0,Client
T2,float,Degrees (C),Rated temperature of cooling Medium from the IT equipment,Rated temperature of cooling Medium from the IT equipment,MECHANICAL OPERATING PARAMETERS,BO,,40,10.0 - 70.0,Client
itdt,float,Degrees (C),Temperature difference across IT side of heat exchanger,Temperature difference across IT side of heat exchanger,MECHANICAL OPERATING PARAMETERS,BP,,(calculated),10.0 - 70.0,Engine
fluid1,string,n/a,Medium used in the IT Cooling Circuit,What is the medium being used for capturing heat from the IT system?,MECHANICAL OPERATING PARAMETERS,BQ,AR,Water,,Client
P2,float,bar,Medium pressure entering the Heat Exchanger on the IT Cooling Side,Gauge Pressure at the Heat Exchanger,MECHANICAL OPERATING PARAMETERS,BR,AW,4,1.0 - 25.0,Client
P1,float,bar,Medium Pressure leaving the Heat Exchanger on the IT Cooling Side,Gauge Pressure at the Heat Exchanger,MECHANICAL OPERATING PARAMETERS,BS,AX,1,1.0 - 25.0,Client
dpit,float,bar,Medium Pressure drop across heat exchanger on IT side,"Heat Exchanger ""Delta P"", on the IT Side",MECHANICAL OPERATING PARAMETERS,BT,,(calculated),,Engine
F1,float,Liters per Minute,Medium Flow in the IT Cooling Circuit,Fluid flow of IT Cooling Medium,MECHANICAL OPERATING PARAMETERS,BU,AY,,250 - 10000,Client
fluid1vis,float,n/a,Fluid Viscosity in IT Cooling Circuit,Viscosity of IT Cooing Medium,MECHANICAL OPERATING PARAMETERS,BV,AU,n/a,,Client
fluid1hc,float,n/a,Heat Capacity of IT Cooling Medium,Heat Capacity of IT Cooling Medium,MECHANICAL OPERATING PARAMETERS,BW,,n/a,,Client
Itpipe,string,n/a,Material for the Piping in the IT Cooling Circuit,Materials for the majority of the piping in the cooling circuit,MECHANICAL OPERATING PARAMETERS,HY,,steel,"Steel, Grooved Steel, Plastic, Copper, Stainless, Grooved Stainless",Client
gwp1,float,n/a,GWP of IT Cooling Medium,GWP of IT Cooling Medium,MECHANICAL OPERATING PARAMETERS,BX,AS,n/a,,Client
odp1,float,n/a,ODP of IT Cooling Medium,ODP of IT Cooling Medium,MECHANICAL OPERATING PARAMETERS,BY,AT,n/a,,Client
T4min,float,Degrees (C),Typical temperature of Medium returning from the Heat Offtaker (Min),Typical temperature of Medium returning from the Heat Offtaker (Min),MECHANICAL OPERATING PARAMETERS,BZ, ,20,10.0 - 40.0,Client
