Variable Name,Data Type,Units,Data Point Name,Data Point Description,,DATA Table Column Location,VISUALIZATION Template Column Location,Default,Anticipated Range of Values,Source of Input Data
impactyr,float,€,"Net Economical Impact of this Heat Reuse System, for the first year?",,BOTTOM LINE,HA,,(calculated),,Engine
impactlif,float,€,"Net Economical Impact of this Heat Reuse System, for the Project Life?",,BOTTOM LINE,HB,,(calculated),,Engine
pipprc1_2,float,€,"1/2"" Pipe By Length","THESE WILL BE THE CURRENT, ACTIVE PRICE per meter FOR PIPING, AT TIME OF CLIENT INPUT.   WE WILL NEED TO CONFIRM ON WHICH PIPE STANDARD TO ANTICIPATE USAGE ",EXTERNAL REFERENCES,HC,SHOWN ONLY IN SUB-APP,(calculated),,External
pipprc3_4,float,€,"3/4"" Pipe By Length",,EXTERNAL REFERENCES,HD,,(calculated),,External
pipprc1,float,€,"1"" Pipe By Length",,EXTERNAL REFERENCES,HE,,(calculated),,External
pipprc2,float,€,"2"" Pipe By Length",,EXTERNAL REFERENCES,HF,,(calculated),,External
pipprc4,float,€,"4"" Pipe By Length",,EXTERNAL REFERENCES,HG,,(calculated),,External
pipprc6,float,€,"6"" Pipe By Length",,EXTERNAL REFERENCES,HH,,(calculated),,External
pipprc8,float,€,"8"" Pipe By Length",,EXTERNAL REFERENCES,HI,,(calculated),,External
pipprc10,float,€,"10"" Pipe By Length",,EXTERNAL REFERENCES,HJ,,(calculated),,External
pipprc12,float,€,"12"" Pipe By Length",,EXTERNAL REFERENCES,HK,,(calculated),,External
pipprc14,float,€,"14"" Pipe By Length",,EXTERNAL REFERENCES,HL,,(calculated),,External
pipprc16,float,€,"16"" Pipe By Length",,EXTERNAL REFERENCES,HM,,(calculated),,External
valprc1_2,float,€,"1/2"" Valve Package",,EXTERNAL REFERENCES,HN,,(calculated),,External
valprc3_4,float,€,"3/4"" Valve Package",,EXTERNAL REFERENCES,HO,,(calculated),,External
valprc1,float,€,"1"" Valve Package",,EXTERNAL REFERENCES,HP,,(calculated),,External
valprc2,float,€,"2"" Valve Package",,EXTERNAL REFERENCES,HQ,,(calculated),,External
valprc4,float,€,"4"" Valve Package",,EXTERNAL REFERENCES,HR,,(calculated),,External
valprc6,float,€,"6"" Valve Package",,EXTERNAL REFERENCES,HS,,(calculated),,External
valprc8,float,€,"8"" Valve Package",,EXTERNAL REFERENCES,HT,,(calculated),,External
valprc10,float,€,"10"" Valve Package",,EXTERNAL REFERENCES,HU,,(calculated),,External
valprc12,float,€,"12"" Valve Package",,EXTERNAL REFERENCES,HV,,(calculated),,External
valprc14,float,€,"14"" Valve Package",,EXTERNAL REFERENCES,HW,,(calculated),,External
valprc16,float,€,"16"" Valve Package",,EXTERNAL REFERENCES,HX,,(calculated),,External
cduinst,float,€,Standard Instrument and Controls Package,"The total cost of the typical package of pressure, temperature, and flow instrumentation and associated controls package",EXTERNAL REFERENCES,KZ,,(calculated),,External
dvrit00,float,%,Hourly Fluctuation Factor for Computing for 0:00,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,IA,ONLY SHOWN AT CLIENT DATA INPUT PAGE,100%,0 - 100%,Client
dvrit01,float,%,Hourly Fluctuation Factor for Computing for 1:00,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,IB,,100%,0 - 100%,Client
dvrit02,float,%,Hourly Fluctuation Factor for Computing for 2:00,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,IC,,100%,0 - 100%,Client
dvrit03,float,%,Hourly Fluctuation Factor for Computing for 3:00,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,ID,,100%,0 - 100%,Client
dvrit04,float,%,Hourly Fluctuation Factor for Computing for 4:00,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,IE,,100%,0 - 100%,Client
dvrit05,float,%,Hourly Fluctuation Factor for Computing for 5:00,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,IF,,100%,0 - 100%,Client
dvrit06,float,%,Hourly Fluctuation Factor for Computing for 6:00,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,IG,,100%,0 - 100%,Client
dvrit07,float,%,Hourly Fluctuation Factor for Computing for 7:00,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,IH,,100%,0 - 100%,Client
dvrit08,float,%,Hourly Fluctuation Factor for Computing for 8:00,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,II,,100%,0 - 100%,Client
dvrit09,float,%,Hourly Fluctuation Factor for Computing for 9:00,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,IJ,,100%,0 - 100%,Client
dvrit10,float,%,Hourly Fluctuation Factor for Computing for 10:00,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,IK,,100%,0 - 100%,Client
dvrit11,float,%,Hourly Fluctuation Factor for Computing for 11:00,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,IL,,100%,0 - 100%,Client
dvrit12,float,%,Hourly Fluctuation Factor for Computing for 12:00,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,IM,,100%,0 - 100%,Client
dvrit13,float,%,Hourly Fluctuation Factor for Computing for 13:00,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,IN,,100%,0 - 100%,Client
dvrit14,float,%,Hourly Fluctuation Factor for Computing for 14:00,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,IO,,100%,0 - 100%,Client
dvrit15,float,%,Hourly Fluctuation Factor for Computing for 15:00,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,IP,,100%,0 - 100%,Client
dvrit16,float,%,Hourly Fluctuation Factor for Computing for 16:00,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,IQ,,100%,0 - 100%,Client
dvrit17,float,%,Hourly Fluctuation Factor for Computing for 17:00,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,IR,,100%,0 - 100%,Client
dvrit18,float,%,Hourly Fluctuation Factor for Computing for 18:00,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,IS,,100%,0 - 100%,Client
dvrit19,float,%,Hourly Fluctuation Factor for Computing for 19:00,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,IT,,100%,0 - 100%,Client
dvrit20,float,%,Hourly Fluctuation Factor for Computing for 20:00,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,IU,,100%,0 - 100%,Client
dvrit21,float,%,Hourly Fluctuation Factor for Computing for 21:00,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,IV,,100%,0 - 100%,Client
dvrit22,float,%,Hourly Fluctuation Factor for Computing for 22:00,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,IW,,100%,0 - 100%,Client
dvrit23,float,%,Hourly Fluctuation Factor for Computing for 23:00,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,IX,,100%,0 - 100%,Client
dvritjan,float,%,Monthly Fluctuation Factor for Computing for January,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,IY,,100%,0 - 100%,Client
dvritfeb,float,%,Monthly Fluctuation Factor for Computing for February,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,IZ,,100%,0 - 100%,Client
dvritmar,float,%,Monthly Fluctuation Factor for Computing for March,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,JA,,100%,0 - 100%,Client
dvritapr,float,%,Monthly Fluctuation Factor for Computing for April,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,JB,,100%,0 - 100%,Client
dvritmay,float,%,Monthly Fluctuation Factor for Computing for May,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,JC,,100%,0 - 100%,Client
dvritjun,float,%,Monthly Fluctuation Factor for Computing for June,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,JD,,100%,0 - 100%,Client
dvritjul,float,%,Monthly Fluctuation Factor for Computing for July,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,JE,,100%,0 - 100%,Client
dvritaug,float,%,Monthly Fluctuation Factor for Computing for August,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,JF,,100%,0 - 100%,Client
dvritsep,float,%,Monthly Fluctuation Factor for Computing for September,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,JG,,100%,0 - 100%,Client
dvritoct,float,%,Monthly Fluctuation Factor for Computing for October,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,JH,,100%,0 - 100%,Client
dvritnov,float,%,Monthly Fluctuation Factor for Computing for November,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,JI,,100%,0 - 100%,Client
dvritdec,float,%,Monthly Fluctuation Factor for Computing for December,The percentage of Computing normally availalble,CLIENT Fluctuation INPUT,JJ,,100%,0 - 100%,Client
dvrusr00,float,%,Hourly Fluctuation Factor for Heat Use for 0:00,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,JK,,100%,0 - 100%,Client
dvrusr01,float,%,Hourly Fluctuation Factor for Heat Use for 1:00,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,JL,,100%,0 - 100%,Client
dvrusr02,float,%,Hourly Fluctuation Factor for Heat Use for 2:00,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,JM,,100%,0 - 100%,Client
dvrusr03,float,%,Hourly Fluctuation Factor for Heat Use for 3:00,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,JN,,100%,0 - 100%,Client
dvrusr04,float,%,Hourly Fluctuation Factor for Heat Use for 4:00,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,JO,,100%,0 - 100%,Client
dvrusr05,float,%,Hourly Fluctuation Factor for Heat Use for 5:00,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,JP,,100%,0 - 100%,Client
dvrusr06,float,%,Hourly Fluctuation Factor for Heat Use for 6:00,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,JQ,,100%,0 - 100%,Client
dvrusr07,float,%,Hourly Fluctuation Factor for Heat Use for 7:00,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,JR,,100%,0 - 100%,Client
dvrusr08,float,%,Hourly Fluctuation Factor for Heat Use for 8:00,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,JS,,100%,0 - 100%,Client
dvrusr09,float,%,Hourly Fluctuation Factor for Heat Use for 9:00,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,JT,,100%,0 - 100%,Client
dvrusr10,float,%,Hourly Fluctuation Factor for Heat Use for 10:00,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,JU,,100%,0 - 100%,Client
dvrusr11,float,%,Hourly Fluctuation Factor for Heat Use for 11:00,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,JV,,100%,0 - 100%,Client
dvrusr12,float,%,Hourly Fluctuation Factor for Heat Use for 12:00,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,JW,,100%,0 - 100%,Client
dvrusr13,float,%,Hourly Fluctuation Factor for Heat Use for 13:00,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,JX,,100%,0 - 100%,Client
dvrusr14,float,%,Hourly Fluctuation Factor for Heat Use for 14:00,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,JY,,100%,0 - 100%,Client
dvrusr15,float,%,Hourly Fluctuation Factor for Heat Use for 15:00,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,JZ,,100%,0 - 100%,Client
dvrusr16,float,%,Hourly Fluctuation Factor for Heat Use for 16:00,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,KA,,100%,0 - 100%,Client
dvrusr17,float,%,Hourly Fluctuation Factor for Heat Use for 17:00,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,KB,,100%,0 - 100%,Client
dvrusr18,float,%,Hourly Fluctuation Factor for Heat Use for 18:00,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,KC,,100%,0 - 100%,Client
dvrusr19,float,%,Hourly Fluctuation Factor for Heat Use for 19:00,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,KD,,100%,0 - 100%,Client
dvrusr20,float,%,Hourly Fluctuation Factor for Heat Use for 20:00,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,KE,,100%,0 - 100%,Client
dvrusr21,float,%,Hourly Fluctuation Factor for Heat Use for 21:00,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,KF,,100%,0 - 100%,Client
dvrusr22,float,%,Hourly Fluctuation Factor for Heat Use for 22:00,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,KG,,100%,0 - 100%,Client
dvrusr23,float,%,Hourly Fluctuation Factor for Heat Use for 23:00,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,KH,,100%,0 - 100%,Client
dvrusrjan,float,%,Monthly Fluctuation Factor for Heat Use for January,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,KI,,100%,0 - 100%,Client
dvrusrfab,float,%,Monthly Fluctuation Factor for Heat Use for February,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,KJ,,100%,0 - 100%,Client
dvrusrmar,float,%,Monthly Fluctuation Factor for Heat Use for March,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,KK,,100%,0 - 100%,Client
dvrusrapr,float,%,Monthly Fluctuation Factor for Heat Use for April,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,KL,,100%,0 - 100%,Client
dvrusrmay,float,%,Monthly Fluctuation Factor for Heat Use for May,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,KM,,100%,0 - 100%,Client
dvrusrjun,float,%,Monthly Fluctuation Factor for Heat Use for June,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,KN,,100%,0 - 100%,Client
dvrusrjul,float,%,Monthly Fluctuation Factor for Heat Use for July,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,KO,,100%,0 - 100%,Client
dvrusraug,float,%,Monthly Fluctuation Factor for Heat Use for August,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,KP,,100%,0 - 100%,Client
dvrusrsep,float,%,Monthly Fluctuation Factor for Heat Use for September,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,KQ,,100%,0 - 100%,Client
dvrusroct,float,%,Monthly Fluctuation Factor for Heat Use for October,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,KR,,100%,0 - 100%,Client
dvrusrnov,float,%,Monthly Fluctuation Factor for Heat Use for November,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,KS,,100%,0 - 100%,Client
dvrusrdec,float,%,Monthly Fluctuation Factor for Heat Use for December,The percentage of heat used by Offtaker system,CLIENT Fluctuation INPUT,KT,,100%,0 - 100%,Client
vlstd1_2,float,$,"1/2"" Standard Stop Valve Cost",Cost of Standard Ball Valve (e.g. gage stop),,LA,N/A,0,10.00-100.00,EXT. DATA
vlstd3_4,float,$,"3/4"" Standard Stop Valve Cost",Cost of Standard Ball Valve (e.g. drain valve),,LB,N/A,17.35,10.00-100.00,EXT. DATA
vlstd1,float,$,"1"" Standard Stop Valve Cost",Cost of Standard Ball Valve,,LC,N/A,0,10.00-100.00,EXT. DATA
vlstd2,float,$,"2"" Standard Stop Valve Cost",Cost of Standard Butterfly Valve,,LD,N/A,0,>100.00,EXT. DATA
vlstd4,float,$,"4"" Standard Stop Valve Cost",Cost of Standard Butterfly Valve,,LE,N/A,0,>100.00,EXT. DATA
vlstd6,float,$,"6"" Standard Stop Valve Cost",Cost of Standard Butterfly Valve,,LF,N/A,0,>100.00,EXT. DATA
vlstd8,float,$,"8"" Standard Stop Valve Cost",Cost of Standard Butterfly Valve,,LG,N/A,0,>100.00,EXT. DATA
vlstd10,float,$,"10"" Standard Stop Valve Cost",Cost of Standard Butterfly Valve,,LH,N/A,0,>100.00,EXT. DATA
vlstd12,float,$,"12"" Standard Stop Valve Cost",Cost of Standard Butterfly Valve,,LI,N/A,0,>100.00,EXT. DATA
vlstd14,float,$,"14"" Standard Stop Valve Cost",Cost of Standard Butterfly Valve,,LJ,N/A,0,>100.00,EXT. DATA
vlstd16,float,$,"16"" Standard Stop Valve Cost",Cost of Standard Butterfly Valve,,LK,N/A,0,>100.00,EXT. DATA
vlstls1_2,float,$,"1/2"" Premium Stop Valve Cost",Cost of Stainless Steel Ball Valve (e.g. gage stop),,LL,N/A,0,10.00-100.00,EXT. DATA
vlstls3_4,float,$,"3/4"" Premium Stop Valve Cost",Cost of Stainless Steel Ball Valve (e.g. drain valve),,LM,N/A,0,10.00-100.00,EXT. DATA
vlstls1,float,$,"1"" Premium Stop Valve Cost",Cost of Stainless Steel Ball Valve,,LN,N/A,0,10.00-100.00,EXT. DATA
vlstls2,float,$,"2"" Premium Stop Valve Cost",Cost of Stainless Steel Butterfly Valve,,LO,N/A,0,>100.00,EXT. DATA
vlstls4,float,$,"4"" Premium Stop Valve Cost",Cost of Stainless Steel Butterfly Valve,,LP,N/A,0,>100.00,EXT. DATA
vlstls6,float,$,"6"" Premium Stop Valve Cost",Cost of Stainless Steel Butterfly Valve,,LQ,N/A,0,>100.00,EXT. DATA
vlstls8,float,$,"8"" Premium Stop Valve Cost",Cost of Stainless Steel Butterfly Valve,,LR,N/A,0,>100.00,EXT. DATA
vlstls10,float,$,"10"" Premium Stop Valve Cost",Cost of Stainless Steel Butterfly Valve,,LS,N/A,0,>100.00,EXT. DATA
vlstls12,float,$,"12"" Premium Stop Valve Cost",Cost of Stainless Steel Butterfly Valve,,LT,N/A,0,>100.00,EXT. DATA
vlstls14,float,$,"14"" Premium Stop Valve Cost",Cost of Stainless Steel Butterfly Valve,,LU,N/A,0,>100.00,EXT. DATA
vlstls16,float,$,"16"" Premium Stop Valve Cost",Cost of Stainless Steel Butterfly Valve,,LV,N/A,0,>100.00,EXT. DATA
vlvnt1_2,float,$,"1/2"" Air Vent Valve Cost",Cost of Automatic Air Vent Valve ,,LW,N/A,0,10.00-100.00,EXT. DATA
vlrelf3_4,float,$,"3/4"" Pressure Relief Valve Cost",Cost of Pressure Relief Valve,,LX,N/A,0,10.00-100.00,EXT. DATA
vlctrl1,float,$,"1"" Control Valve Cost","Cost of Standard Control Valve, 24 volt, 4-20ma",,LY,N/A,0,>100.00,EXT. DATA
vlctrl2,float,$,"2"" Control Valve Cost","Cost of Standard Control Valve, 24 volt, 4-20ma",,LZ,N/A,0,>100.00,EXT. DATA
vlctrl4,float,$,"4"" Control Valve Cost","Cost of Standard Control Valve, 24 volt, 4-20ma",,MA,N/A,0,>100.00,EXT. DATA
vlctrl6,float,$,"6"" Control Valve Cost","Cost of Standard Control Valve, 24 volt, 4-20ma",,MB,N/A,0,>100.00,EXT. DATA
vlctrl8,float,$,"8"" Control Valve Cost","Cost of Standard Control Valve, 120 volt, 4-20ma",,MC,N/A,0,>100.00,EXT. DATA
vlctrl10,float,$,"10"" Control Valve Cost","Cost of Standard Control Valve, 120 volt, 4-20ma",,MD,N/A,0,>100.00,EXT. DATA
vlctrl12,float,$,"12"" Control Valve Cost","Cost of Standard Control Valve, 120 volt, 4-20ma",,ME,N/A,0,>100.00,EXT. DATA
vlctrl14,float,$,"14"" Control Valve Cost","Cost of Standard Control Valve, 120 volt, 4-20ma",,MF,N/A,0,>100.00,EXT. DATA
